COD_APO;COD_ENDOSSO;DATA_COMP;COD_END;ITEM;TIPO_PES;MODALIDADE;TIPO_PROD;COBERTURA;COD_MODELO;ANO_MODELO;COD_TARIF;REGIAO;COD_CONT;TIPO_FRANQ;VAL_FRANQ;PERC_FATOR;TAB_REF;IS_CASCO;IS_RCDMAT;IS_RCDC;IS_RCDMOR;IS_APP_MA;IS_APP_IPA;IS_APP_DMH;PRE_CASCO;PRE_CAS_CO;PRE_RCDMAT;PRE_RCDC;PRE_RCDMOR;PRE_APP_MA;PRE_APP_IA;PRE_APP_DM;PRE_OUTROS;INICIO_VIG;FIM_VIG;PERC_BONUS;CLAS_BONUS;PERC_CORR;SEXO;DATA_NASC;TEMPO_HAB;UTILIZACAO;CEP_UTIL;CEP_PER;DATA_EMIS;SINAL
243887078;645835509;2019B;0;0;F;1;1;1;003289-1;2008;10;11;1;2;27050;1000;2;192710;500000;500000;0;0;0;0;7170;0;1650;260;0;0;0;0;0;20180110;20190110;30;9;1935;M;19381214;0;2;6023000;6023000;20180118;
205653622;645835513;2019B;0;0;F;1;1;1;001380-3;2013;10;11;1;2;26430;1000;2;330130;500000;500000;0;50000;0;0;12180;0;2480;330;0;150;0;0;0;20180109;20190109;0;0;2353;F;19671104;0;2;11045000;11045000;20180118;
199623652;645835518;2019B;0;0;F;1;1;1;018088-2;2018;23;11;1;1;74120;1000;2;2121840;2000000;2000000;0;10000;0;0;63020;0;12600;750;0;40;0;0;0;20180116;20190116;0;0;1176;F;19720107;0;0;3029000;3029000;20180118;
165803514;645835524;2019B;0;0;F;1;1;1;002130-0;2015;23;11;1;2;71410;1000;2;1093140;1500000;6000000;0;250000;0;0;26430;0;7220;290;0;1270;0;0;0;20180123;20190123;25;4;250;F;19431102;0;2;5718000;5718000;20180118;
126981249;645835547;2019B;1;0;F;1;1;1;001461-3;2018;10;12;1;1;16400;1000;2;349740;500000;500000;0;50000;0;0;0;0;0;0;0;0;0;0;0;20180413;20190123;30;7;0;F;19790620;0;2;13020000;13020000;20180413;
175705688;645835567;2019B;0;0;F;1;1;1;015090-8;2018;10;11;1;2;36940;1000;2;574440;500000;500000;0;0;0;0;18260;0;2960;340;0;0;0;0;0;20180117;20190117;0;0;0;F;19850117;0;2;7743000;7743000;20180118;
229941170;645835569;2019B;0;0;F;1;1;1;015088-6;2014;10;11;1;1;13280;1000;2;336260;500000;500000;0;0;0;0;19180;0;3420;270;0;0;0;0;0;20180118;20190118;30;8;1667;F;19540611;0;2;2334000;2334000;20180118;
150280285;645835585;2019B;0;0;F;1;1;1;005405-4;2016;10;11;1;2;30960;1000;2;440500;500000;500000;0;0;0;0;16570;0;4020;290;0;0;0;0;0;20180104;20190104;30;6;2353;F;19880803;0;2;4661000;4661000;20180118;
189641119;645835592;2019B;0;0;F;1;1;1;014088-0;2016;22;11;1;1;28530;1000;2;873890;1000000;1000000;0;10000;0;0;24770;0;5080;420;0;30;0;0;0;20180120;20190120;0;0;2353;M;19640920;0;2;4313000;4313000;20180118;
168027146;645835634;2019B;0;0;F;1;1;1;014040-6;2014;10;11;1;1;16250;1000;2;436450;1000000;1000000;0;50000;0;0;9860;0;2090;250;150;150;0;0;0;20180118;20190118;30;9;1667;M;19360925;0;2;5054000;5054000;20180118;
163970422;645835664;2019B;0;0;F;1;1;1;003408-8;2016;10;11;1;1;13350;1000;2;337850;750000;1000000;0;200000;0;0;11230;0;2550;240;0;790;0;0;0;20180123;20190123;30;9;1667;F;19900618;0;2;14403000;14403000;20180118;
113171435;645835677;2019B;1;0;F;1;1;1;004434-2;2017;10;11;1;1;23220;1000;2;526710;1000000;1000000;0;500000;0;0;0;0;0;0;0;0;0;0;0;20180118;20190118;30;9;0;M;19700527;0;0;3282001;3282001;20180227;
118857836;645835706;2019B;0;0;F;1;1;1;004342-7;2012;10;11;1;1;10850;1000;2;225890;750000;750000;0;0;0;0;12700;0;4050;270;0;0;0;0;0;20180125;20190125;30;9;250;F;19431224;0;2;4717000;4717000;20180118;
215145587;645835742;2019B;0;0;F;1;1;1;002084-2;2005;10;11;1;2;36460;1000;2;242030;1000000;1000000;0;150000;0;0;9200;0;3240;270;0;540;0;0;0;20180120;20190120;30;9;250;F;19750926;0;2;5014000;5014000;20180118;
204014328;645835757;2019B;1;0;F;1;1;1;015145-9;2018;22;11;1;1;62730;1000;2;1100970;1500000;1500000;0;100000;0;0;14810;0;180;0;0;0;0;0;0;20180519;20190117;30;9;0;M;19561230;0;2;4660000;4660000;20180523;
240534568;645835767;2019B;0;0;F;1;1;1;014061-9;2014;10;11;1;1;18780;1000;2;465620;1000000;1000000;0;100000;0;0;11380;0;3120;220;0;360;0;0;0;20180114;20190114;30;9;1667;F;19400108;0;2;6474000;6474000;20180118;
43141528;645835769;2019B;0;0;F;1;1;1;003325-1;2010;10;11;1;2;28010;1000;2;156830;1000000;1000000;0;0;0;0;9640;0;2170;510;0;0;0;0;0;20180117;20190117;30;9;250;F;19790819;0;2;5777000;5777000;20180118;
247947082;645835774;2019B;2;0;F;1;1;2;004121-1;2003;10;14;1;2;24460;900;2;110120;500000;500000;0;0;0;0;0;0;0;0;0;0;0;0;0;20180110;20190110;0;0;0;M;19910501;0;0;15040050;15040050;20180326;
214823569;645835780;2019B;1;0;F;1;1;1;002173-3;2019;10;11;1;1;18660;1050;2;799830;1000000;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;20181207;20190118;0;0;0;M;19690824;0;3;1138000;1138000;20181207;
261464083;645835784;2019B;0;0;F;1;1;1;004273-0;2008;10;11;1;2;19570;1000;2;161410;650000;650000;0;0;0;0;7540;0;1870;260;0;0;0;0;0;20180119;20190119;30;9;1848;F;19400519;0;2;5546000;5546000;20180118;
153224714;645835786;2019B;1;0;F;1;1;1;002150-4;2018;10;11;1;1;16820;1000;2;607610;750000;750000;0;0;0;0;2760;0;0;0;0;0;0;0;0;20180302;20190119;30;9;0;F;19700307;0;2;4367000;4367000;20180307;
245113015;645835792;2019B;0;0;F;1;1;1;004358-3;2012;10;11;1;1;23440;1000;2;207760;750000;5000000;0;500000;0;0;13940;0;5110;220;0;1770;0;0;0;20180116;20190116;30;6;1667;M;19771219;0;0;3671000;3671000;20180118;
258409623;645835804;2019B;1;0;F;1;1;1;027047-4;2006;23;11;1;1;31660;950;2;280460;1000000;1500000;0;160000;0;0;-390;0;50;-80;0;0;0;0;0;20181025;20190119;30;9;0;M;19760820;0;2;4078000;4078000;20181026;
258409623;645835806;2019B;4;0;F;1;1;1;027047-4;2006;23;11;1;1;31660;950;2;280460;1000000;1500000;0;160000;0;0;0;0;0;0;0;0;0;0;0;20190110;20190119;30;9;0;M;19760820;0;0;4078002;4078002;20190111;
221253105;645835829;2019B;0;0;F;1;1;1;015102-5;2014;10;11;1;1;16080;1000;2;412500;500000;500000;0;50000;0;0;8420;0;2330;230;0;200;0;0;0;20180120;20190120;30;9;150;M;19741030;0;3;5754000;5754000;20180118;
168073238;645835832;2019B;1;0;F;1;1;1;015099-1;2018;10;11;1;2;43230;1000;2;469090;500000;500000;0;150000;0;0;3920;0;2240;-190;0;130;0;0;0;20180720;20190121;20;3;0;M;19621118;0;0;4850200;4850200;20180720;
61358957;645835842;2019B;1;0;F;1;1;1;021289-0;2014;11;11;1;2;119970;1000;2;798290;1000000;1000000;0;200000;0;0;0;0;0;0;0;0;0;0;0;20180203;20190203;30;7;0;M;19650807;0;2;4514000;4514000;20181112;
164018063;645835866;2019B;1;0;F;1;1;1;015086-0;2014;22;11;1;1;31920;1000;2;646220;1000000;1000000;0;0;0;0;0;0;0;0;0;0;0;0;0;20180320;20190119;30;9;0;F;19760905;0;2;4006000;4006000;20180320;
39958737;645835893;2019B;0;0;F;1;1;1;023105-3;2015;10;11;1;2;32980;1000;2;296350;500000;500000;0;10000;0;0;13470;0;3290;280;0;40;0;0;0;20180121;20190121;20;3;2273;F;19851027;0;2;9891000;9891000;20180119;
130927247;645835900;2019B;0;0;F;1;1;1;015099-1;2014;10;16;1;1;17110;1000;2;361820;1000000;1000000;0;100000;0;0;13270;0;3130;510;0;200;0;0;0;20180111;20190111;30;7;1176;M;19801129;0;2;39480000;39480000;20180119;
